openbench_Model,simplebench_Score (AVG@5),livebench_plot_unscrambling,2,3,4,5,6,7,8,9,10
ChatGPT-4o,,40.952,0,0,0,2,3,0,0,0,2
Claude 3 Opus,23.5%,,0,0,0,0,2,0,0,0,1
Claude 3.5 Haiku,,24.955,0,0,0,0,1,0,0,0,0
Claude 3.5 Sonnet,41.4%,50.264,0,0,0,0,2,0,0,0,3
Claude 3.7 Sonnet,44.9%,53.749,0,0,0,0,0,0,0,0,3
Claude 3.7 Sonnet Thinking,46.4%,55.475,0,0,0,0,0,0,0,0,3
Claude 4 Opus,,59.174,0,0,0,2,0,0,0,0,3
Claude 4 Opus Thinking,58.8%,60.497,0,2,0,0,0,0,0,0,3
Claude 4 Sonnet,,54.209,0,0,0,2,0,0,0,0,3
Claude 4 Sonnet Thinking,45.5%,55.898,0,0,0,2,0,0,0,0,3
Claude Opus 4.1,60.0%,,0,0,0,1,0,0,0,0,3
Claude Opus 4.1 Thinking,,60.458,0,2,0,0,0,0,0,0,3
Command A,,34.755,0,0,0,0,2,1,2,0,0
Command R,,17.8,0,1,0,0,3,0,0,0,0
Command R Plus,17.4%,22.582,0,0,0,0,2,0,0,0,0
DeepSeek R1,30.9%,38.812,0,0,0,0,3,0,0,0,0
DeepSeek R1 (2025-05-28),40.8%,46.968,0,2,2,0,3,0,0,0,2
DeepSeek R1 Distill Llama 70B,,25.984,0,0,0,0,1,0,0,0,0
DeepSeek R1 Distill Qwen 32B,,16.912,0,0,0,1,0,0,0,0,0
DeepSeek V3 (2024-12-26),,,0,0,0,0,1,0,0,0,0
DeepSeek V3 (2025-03-24),27.2%,42.301,0,0,0,0,3,0,0,0,0
DeepSeek V3.1 (Non-Reasoning),,45.235,0,0,0,0,0,0,0,0,3
DeepSeek V3.1 (Reasoning),,49.037,0,1,2,0,3,0,0,0,0
Gemini 1.5 Flash,,,0,1,2,0,3,0,0,0,0
Gemini 1.5 Flash 8B,,,0,1,2,0,3,0,0,0,0
Gemini 2.0 Flash,,,0,1,2,0,3,0,0,0,0
Gemini 2.0 Flash Lite,,24.656,0,0,0,0,3,0,0,0,0
Gemini 2.5 Flash Lite Preview (2025-06-17),,33.608,0,0,0,2,0,0,0,0,0
Gemini 2.5 Flash Lite Preview (2025-06-17) Nonthinking,,,0,0,0,0,3,0,0,0,0
Gemini 2.5 Flash Preview (2025-05-20),,51.949,0,1,0,2,3,0,0,0,3
Gemini 2.5 Flash Preview Nonthinking,,,0,0,0,0,3,1,1,0,0
Gemini 2.5 Pro Preview (2025-06-05),62.4%,62.987,0,3,0,2,2,0,1,1,3
Gemini 2.5 Pro Preview (2025-06-05) Limited,,61.734,2,2,0,3,3,0,1,0,3
Gemma 3 12B,,23.809,0,0,0,0,1,0,0,0,0
Gemma 3 27B,,28.61,0,0,0,0,1,0,0,0,0
Gemma 3 4B,,11.011,0,0,0,0,1,0,0,0,0
Gemma 3n 4B,,,0,0,0,0,0,1,0,0,0
GLM 4.5 Air,,33.202,0,0,1,0,3,0,0,1,0
GLM-4.5,,49.035,0,1,1,0,2,0,1,0,0
GPT OSS 120B,22.1%,18.605,0,1,1,0,2,0,1,0,0
GPT OSS 20B,,,0,1,1,0,2,0,1,0,0
